"site","ozone","month","year","lat","lon"
3495,0.0469291465378422,3,2015,35.644167,-120.23
3500,0.0354439935064935,3,2015,34.51096,-117.32555
3502,0.0337702302631579,3,2015,34.38337,-118.52839
3505,0.0329568452380952,3,2015,34.404281,-118.80998
3658,0.036421568627451,3,2015,34.66959,-118.13068
3661,0.0240675986842105,3,2015,37.348488,-121.894936
3665,0.0308989113530327,3,2015,34.427753,-119.690912
3668,0.0244432137285491,3,2015,37.9604,-122.35685
3673,0.0336150976909414,3,2015,33.61235,-114.60209
3674,0.0270644151565074,3,2015,33.83061,-117.9385
3678,0.0285084337349398,3,2015,38.35655,-121.94986
3683,0.0338694352159468,3,2015,33.95507,-118.43049
3688,0.0301842679127726,3,2015,35.25651,-120.6693
3690,0.0299833333333333,3,2015,32.70139,-117.1528
3693,0.0315434426229508,3,2015,34.01029,-118.0685
3694,0.0333420195439739,3,2015,35.35472,-120.04019
3696,0.0392362204724409,3,2015,37.68268,-121.44238
3697,0.0480714285714286,3,2015,33.7411,-115.8206
3702,0.0288916058394161,3,2015,33.99636,-117.4924
3714,0.0284647425897036,3,2015,39.53387,-122.190834
3716,0.0222368338557994,3,2015,40.77678,-124.17949
3726,0.0269029850746269,3,2015,36.209018,-121.125959
3732,0.0469552906110283,3,2015,33.93983,-115.41085
3738,0.0246391437308869,3,2015,38.650783,-121.506767
3739,0.038672131147541,3,2015,32.57816,-116.92135
3742,0.0223238993710692,3,2015,37.8148,-122.28236
3743,0.0287840554592721,3,2015,33.901445,-118.204989
3746,0.0316108374384237,3,2015,40.689075,-122.402255
3758,0.0327461059190031,3,2015,35.23918,-118.78863
3759,0.0313473520249221,3,2015,36.63424,-120.38234
3763,0.0246034482758621,3,2015,36.03179,-119.05505
3766,0.0359934426229508,3,2015,32.84547,-117.12389
3771,0.0305514469453376,3,2015,36.95326,-120.03419
3774,0.0281994464944649,3,2015,33.8025,-118.22
3777,0.0447887147335423,3,2015,33.583018,-117.072202
3779,0.0264777419354839,3,2015,40.71527,-124.20149
3781,0.0300628346456693,3,2015,36.78538,-119.77321
3783,0.02726984375,3,2015,39.76168,-121.84047
3787,0.0313269230769231,3,2015,35.33156,-118.9999
3796,0.025855421686747,3,2015,38.88563,-121.30208
3804,0.0191811616954474,3,2015,38.403765,-122.818294
3806,0.0309602169981917,3,2015,32.817978,-116.968133
3812,0.0250799347471452,3,2015,35.49442,-120.66622
3816,0.0268556547619048,3,2015,40.17088,-122.25556
2008,0.0406187683284457,4,2015,34.46248,-120.02547
2013,0.0421089837997054,4,2015,36.70556,-119.74139
2016,0.0351585535465925,4,2015,36.48187,-121.73333
2032,0.0382763848396501,4,2015,36.33252,-119.29095
2077,0.0447520648967552,4,2015,34.05965,-117.14734
2094,0.0355290132547864,4,2015,37.95075,-121.26897
2114,0.0410541727672035,4,2015,36.59744,-119.50369
2116,0.045492027972028,4,2015,37.36075,-118.3308
2123,0.0375818452380952,4,2015,38.71209,-121.38108
2125,0.0331425373134328,4,2015,37.48293,-122.20348
2143,0.034514347826087,4,2015,38.53455,-121.7734
2160,0.036083033033033,4,2015,34.13265,-118.12714
2199,0.0604559398496241,4,2015,33.85262,-116.54099
2221,0.04229515625,4,2015,34.106678,-117.274063
2249,0.034024255952381,4,2015,33.92505,-117.95259
2263,0.0444961240310077,4,2015,33.127708,-117.075327
2266,0.0406117734724292,4,2015,34.10015,-117.49198
2312,0.0357037558685446,4,2015,35.345607,-118.851825
2320,0.0345732168850073,4,2015,36.99958,-121.57466
2321,0.0384389534883721,4,2015,35.366386,-120.842602
2360,0.0368428781204112,4,2015,34.63782,-120.4575
2368,0.0447440225035162,4,2015,32.952499,-117.263336
2373,0.0331088791848617,4,2015,37.76595,-122.39902
2410,0.0345748529411765,4,2015,38.10251,-122.238
2420,0.0430848062015504,4,2015,34.1992,-118.53275
2460,0.0565365853658537,4,2015,32.84232,-116.76831
2484,0.0378431784107946,4,2015,34.13648,-117.92392
2485,0.0419732115677321,4,2015,34.10367,-117.62906
2494,0.0394876470588235,4,2015,34.05109,-118.4564
2499,0.0506210059171598,4,2015,34.24313,-117.2723
2525,0.0429593294460641,4,2015,33.78933,-117.22764
